tag,count
Interface,315
Education,199
Arrows,136
Direction,134
Electronics,102
Transportation,102
Emoji,100
Emoticon,98
Communications,92
Alphabet,82
Miscellaneous,75
Arrow,72
Money,70
Document,67
User,67
Weather,65
Sign,65
Symbol,60
People,59
Technology,56
Message,53
Business,52
Food,51
Speech Bubble,50
Orientation,49
Mathematics,48
Maths,48
Comment,45
File,45
Nature,45
Vehicle,44
Security,40
Number,35
Travel,34
Fauna,33
Schedule,32
Gaming,31
Drink,30
Transport,30
Chat,30
Alert,30
Typography,29
Man,29
Button,29
Disability,28
Inclusive,28
Building,28
Multimedia,27
Blind,27
Avatar,27
Character,27
Warning,26
Hour,26
Entertainment,26
Font,26
Currency,26
Healthy,25
Sweet,25
Home,24
Watch,24
Dessert,24
Beverage,24
Fruit,24
Bank,23
Commerce,22
Dollar,22
Organic,22
Game,21
Vegetarian,21
Sport,20
Vegan,20
Cash,19
Climate,19
Telephone,19
Chart,18
Medical,18
Gesture,18
Marketing,18
Box,18
Sports,18
Space,18
Forecast,18
Meteorology,18
Shape,17
Counting,17
Computer,17
Love,17
Edition,17
Archive,17
Gambling,17
Up Arrow,17
Placeholder,17
Off,16
Winter,16
Urban,16
Device,16
Audio,16
Check,16
Rubbish Bin,15
Sound,15
Protection,15
Slash,15
Hand,15
Spreadsheet,15
Bakery,15
Layout,15
Directional,15
Graphic,15
Coding,15
Christmas,14
Storage,14
Statistics,14
Download,14
Exclamation Mark,14
Geometry,14
Person,14
Text,14
Pin,14
Flight,14
Directions,14
Tools,14
Casino,13
Electricity,13
Day,13
Communication,13
Board Game,13
Equipment,13
Diet,13
Speedometer,13
Fast Food,13
Car,13
Banking,13
Down Arrow,13
City,13
Coin,13
Town,12
Celebration,12
Time,12
Calendar,12
Chess,12
Photo,12
Date,12
Halloween,12
Religion,12
Web,12
Hygiene,12
Dice,12
Music,12
Write,12
Stats,12
Package,12
Profile,12
Book,12
Speed,12
Pen,11
House,11
Garbage Can,11
Reward,11
Alcohol,11
Bet,11
Wellness,11
Gear,11
Science,11
Winner,11
Phone,11
Party,11
Vegetable,11
Add,11
Danger,11
List,11
Square,11
Upload,11
Breakfast,11
Light,11
Video,11
Next,11
Hospital,11
Virus,11
Conversation,11
Universe,11
Edit,10
Search,10
Pencil,10
Settings,10
Award,10
Online,10
Strategy,10
Death,10
Read,10
Graph,10
Smile,10
Star,10
Delete,10
Event,10
Vintage,10
Tachometer,10
Industry,10
Head,10
Growth,10
Cup,9
Glass,9
Retro,9
Woman,9
Finger,9
Study,9
Film,9
Shapes,9
Format,9
Email,9
Letter,9
Paper,9
Cooking,9
Farm,9
Medal,9
Night,9
Bracket,9
Piece,9
Measuring,9
Clock,9
Folder,9
Utensils,9
Temperature,8
Organization,8
Meal,8
Badge,8
Cloud,8
Decoration,8
Airplane,8
Win,8
Hand Gesture,8
Volume Control,8
Networking,8
Bottle,8
Sun,8
Clothing,8
Back,8
Coverage,8
Note,8
Call,8
Notebook,8
Clean,8
Health,8
Save,8
Bathroom,8
Measurement,8
Ball,8
Anatomy,8
Prohibition,8
Envelope,8
Menu,8
Picture,8
Monitor,8
Real Estate,8
Agenda,8
File Format,8
Cross,8
Tick,8
Letter P,7
Bacteria,7
Label,7
Configuration,7
Laugh,7
Road Sign,7
Insect,7
Banknote,7
Cancel,7
Send,7
Management,7
Connection,7
Truck,7
Weapon,7
Bread,7
Check Mark,7
Investment,7
Remove,7
Question Mark,7
Window,7
